A,B,StadDistMiles
Staples Center (LAC),Bankers Life Fieldhouse (IND),1811
Staples Center (LAC),BMO Harris Bradley Center (MIL),1745
Staples Center (LAC),Philips Arena (ATL),1937
Staples Center (LAC),Spectrum Center (CHA),2121
Staples Center (LAC),AmericanAirlines Arena (MIA),2339
Staples Center (LAC),Amway Center (ORL),2202
Staples Center (LAC),Verizon Center (WSH),2301
Staples Center (LAC),ORACLE Arena (GS),343
Staples Center (LAC),Staples Center (LAC),0
Staples Center (LAC),Staples Center (LAL),0
Staples Center (LAC),Talking Stick Resort Arena (PHX),358
Staples Center (LAC),Golden 1 Center (SAC),361
Staples Center (LAC),American Airlines Center (DAL),1229
Staples Center (LAC),Toyota Center (HOU),1374
Staples Center (LAC),FedExForum (MEM),1604
Staples Center (LAC),Smoothie King Center (NO),1673
Staples Center (LAC),AT&T Center (SA),1207
Staples Center (LAC),Pepsi Center (DEN),831
Staples Center (LAC),Target Center (MIN),1522
Staples Center (LAC),Chesapeake Energy Arena (OKC),1182
Staples Center (LAC),Moda Center at the Rose Quarter (POR),825
Staples Center (LAC),Vivint Smart Home Arena (UTA),580
Staples Center (LAL),TD Garden (BOS),2598
Staples Center (LAL),Barclays Center (BKN),2453
Staples Center (LAL),Madison Square Garden (NY),2452
Staples Center (LAL),Wells Fargo Center (PHI),2394
Staples Center (LAL),Air Canada Centre (TOR),2177
Staples Center (LAL),United Center (CHI),1745
Staples Center (LAL),Quicken Loans Arena (CLE),2050
Staples Center (LAL),The Palace of Auburn Hills (DET),1977
Staples Center (LAL),Bankers Life Fieldhouse (IND),1811
Staples Center (LAL),BMO Harris Bradley Center (MIL),1745
Staples Center (LAL),Philips Arena (ATL),1937
Staples Center (LAL),Spectrum Center (CHA),2121
Staples Center (LAL),AmericanAirlines Arena (MIA),2339
Staples Center (LAL),Amway Center (ORL),2202
Staples Center (LAL),Verizon Center (WSH),2301
Staples Center (LAL),ORACLE Arena (GS),343
Staples Center (LAL),Staples Center (LAC),0
Staples Center (LAL),Staples Center (LAL),0
Staples Center (LAL),Talking Stick Resort Arena (PHX),358
Staples Center (LAL),Golden 1 Center (SAC),361
Staples Center (LAL),American Airlines Center (DAL),1229
Staples Center (LAL),Toyota Center (HOU),1374
Staples Center (LAL),FedExForum (MEM),1604
Staples Center (LAL),Smoothie King Center (NO),1673
Staples Center (LAL),AT&T Center (SA),1207
Staples Center (LAL),Pepsi Center (DEN),831
Staples Center (LAL),Target Center (MIN),1522
Staples Center (LAL),Chesapeake Energy Arena (OKC),1182
Staples Center (LAL),Moda Center at the Rose Quarter (POR),825
Staples Center (LAL),Vivint Smart Home Arena (UTA),580
Talking Stick Resort Arena (PHX),TD Garden (BOS),2299
Talking Stick Resort Arena (PHX),Barclays Center (BKN),2145
Talking Stick Resort Arena (PHX),Madison Square Garden (NY),2145
Talking Stick Resort Arena (PHX),Wells Fargo Center (PHI),2081
Talking Stick Resort Arena (PHX),Air Canada Centre (TOR),1890
Talking Stick Resort Arena (PHX),United Center (CHI),1452
Talking Stick Resort Arena (PHX),Quicken Loans Arena (CLE),1749
Talking Stick Resort Arena (PHX),The Palace of Auburn Hills (DET),1685
Talking Stick Resort Arena (PHX),Bankers Life Fieldhouse (IND),1499
Talking Stick Resort Arena (PHX),BMO Harris Bradley Center (MIL),1463
Talking Stick Resort Arena (PHX),Philips Arena (ATL),1591
Talking Stick Resort Arena (PHX),Spectrum Center (CHA),1782
Talking Stick Resort Arena (PHX),AmericanAirlines Arena (MIA),1980
Talking Stick Resort Arena (PHX),Amway Center (ORL),1845
Talking Stick Resort Arena (PHX),Verizon Center (WSH),1982
Talking Stick Resort Arena (PHX),ORACLE Arena (GS),647
Talking Stick Resort Arena (PHX),Staples Center (LAC),358
Talking Stick Resort Arena (PHX),Staples Center (LAL),358
Talking Stick Resort Arena (PHX),Talking Stick Resort Arena (PHX),0
Talking Stick Resort Arena (PHX),Golden 1 Center (SAC),635
Talking Stick Resort Arena (PHX),American Airlines Center (DAL),874
Talking Stick Resort Arena (PHX),Toyota Center (HOU),1015
Talking Stick Resort Arena (PHX),FedExForum (MEM),1262
Talking Stick Resort Arena (PHX),Smoothie King Center (NO),1315
Talking Stick Resort Arena (PHX),AT&T Center (SA),851
Talking Stick Resort Arena (PHX),Pepsi Center (DEN),585
Talking Stick Resort Arena (PHX),Target Center (MIN),1276
Talking Stick Resort Arena (PHX),Chesapeake Energy Arena (OKC),841
Talking Stick Resort Arena (PHX),Moda Center at the Rose Quarter (POR),1005
Talking Stick Resort Arena (PHX),Vivint Smart Home Arena (UTA),504
Golden 1 Center (SAC),TD Garden (BOS),2631
Golden 1 Center (SAC),Barclays Center (BKN),2508
Golden 1 Center (SAC),Madison Square Garden (NY),2506
Golden 1 Center (SAC),Wells Fargo Center (PHI),2458
Golden 1 Center (SAC),Air Canada Centre (TOR),2201
Golden 1 Center (SAC),United Center (CHI),1791
Golden 1 Center (SAC),Quicken Loans Arena (CLE),2102
Golden 1 Center (SAC),The Palace of Auburn Hills (DET),2013
Golden 1 Center (SAC),Bankers Life Fieldhouse (IND),1887
Golden 1 Center (SAC),BMO Harris Bradley Center (MIL),1775
Golden 1 Center (SAC),Philips Arena (ATL),2086
Golden 1 Center (SAC),Spectrum Center (CHA),2245
Golden 1 Center (SAC),AmericanAirlines Arena (MIA),2550
Golden 1 Center (SAC),Amway Center (ORL),2395
Golden 1 Center (SAC),Verizon Center (WSH),2378
Golden 1 Center (SAC),ORACLE Arena (GS),68
Golden 1 Center (SAC),Staples Center (LAC),361
Golden 1 Center (SAC),Staples Center (LAL),361
Golden 1 Center (SAC),Talking Stick Resort Arena (PHX),635
Golden 1 Center (SAC),Golden 1 Center (SAC),0
Golden 1 Center (SAC),American Airlines Center (DAL),1428
Golden 1 Center (SAC),Toyota Center (HOU),1608
Golden 1 Center (SAC),FedExForum (MEM),1749
Golden 1 Center (SAC),Smoothie King Center (NO),1883
Golden 1 Center (SAC),AT&T Center (SA),1460
Golden 1 Center (SAC),Pepsi Center (DEN),887
Golden 1 Center (SAC),Target Center (MIN),1512
Golden 1 Center (SAC),Chesapeake Energy Arena (OKC),1339
Golden 1 Center (SAC),Moda Center at the Rose Quarter (POR),482
Golden 1 Center (SAC),Vivint Smart Home Arena (UTA),533
American Airlines Center (DAL),TD Garden (BOS),1558
American Airlines Center (DAL),Barclays Center (BKN),1381
American Airlines Center (DAL),Madison Square Garden (NY),1381
American Airlines Center (DAL),Wells Fargo Center (PHI),1306
American Airlines Center (DAL),Air Canada Centre (TOR),1209
American Airlines Center (DAL),United Center (CHI),806
American Airlines Center (DAL),Quicken Loans Arena (CLE),1031
American Airlines Center (DAL),The Palace of Auburn Hills (DET),1011
American Airlines Center (DAL),Bankers Life Fieldhouse (IND),769
American Airlines Center (DAL),BMO Harris Bradley Center (MIL),859
American Airlines Center (DAL),Philips Arena (ATL),731
American Airlines Center (DAL),Spectrum Center (CHA),940
American Airlines Center (DAL),AmericanAirlines Arena (MIA),1121
American Airlines Center (DAL),Amway Center (ORL),974
American Airlines Center (DAL),Verizon Center (WSH),1192
American Airlines Center (DAL),ORACLE Arena (GS),1463
American Airlines Center (DAL),Staples Center (LAC),1229
American Airlines Center (DAL),Staples Center (LAL),1229
American Airlines Center (DAL),Talking Stick Resort Arena (PHX),874
American Airlines Center (DAL),Golden 1 Center (SAC),1428
American Airlines Center (DAL),American Airlines Center (DAL),0
American Airlines Center (DAL),Toyota Center (HOU),232
American Airlines Center (DAL),FedExForum (MEM),429
American Airlines Center (DAL),Smoothie King Center (NO),454
American Airlines Center (DAL),AT&T Center (SA),250
American Airlines Center (DAL),Pepsi Center (DEN),652
American Airlines Center (DAL),Target Center (MIN),859
American Airlines Center (DAL),Chesapeake Energy Arena (OKC),183
American Airlines Center (DAL),Moda Center at the Rose Quarter (POR),1621
American Airlines Center (DAL),Vivint Smart Home Arena (UTA),988
Toyota Center (HOU),TD Garden (BOS),1605
Toyota Center (HOU),Barclays Center (BKN),1419
Toyota Center (HOU),Madison Square Garden (NY),1420
Toyota Center (HOU),Wells Fargo Center (PHI),1339
Toyota Center (HOU),Air Canada Centre (TOR),1301
Toyota Center (HOU),United Center (CHI),939
Toyota Center (HOU),Quicken Loans Arena (CLE),1114
Toyota Center (HOU),The Palace of Auburn Hills (DET),1117
Toyota Center (HOU),Bankers Life Fieldhouse (IND),865
Toyota Center (HOU),BMO Harris Bradley Center (MIL),1004
Toyota Center (HOU),Philips Arena (ATL),701
Toyota Center (HOU),Spectrum Center (CHA),926
Toyota Center (HOU),AmericanAirlines Arena (MIA),967
Toyota Center (HOU),Amway Center (ORL),849
Toyota Center (HOU),Verizon Center (WSH),1220
Toyota Center (HOU),ORACLE Arena (GS),1637
Toyota Center (HOU),Staples Center (LAC),1374
Toyota Center (HOU),Staples Center (LAL),1374
Toyota Center (HOU),Talking Stick Resort Arena (PHX),1015
Toyota Center (HOU),Golden 1 Center (SAC),1608
Toyota Center (HOU),American Airlines Center (DAL),232
Toyota Center (HOU),Toyota Center (HOU),0
Toyota Center (HOU),FedExForum (MEM),484
Toyota Center (HOU),Smoothie King Center (NO),318
Toyota Center (HOU),AT&T Center (SA),186
Toyota Center (HOU),Pepsi Center (DEN),879
Toyota Center (HOU),Target Center (MIN),1054
Toyota Center (HOU),Chesapeake Energy Arena (OKC),412
Toyota Center (HOU),Moda Center at the Rose Quarter (POR),1835
Toyota Center (HOU),Vivint Smart Home Arena (UTA),1199
FedExForum (MEM),TD Garden (BOS),1136
FedExForum (MEM),Barclays Center (BKN),955
FedExForum (MEM),Madison Square Garden (NY),956
FedExForum (MEM),Wells Fargo Center (PHI),879
FedExForum (MEM),Air Canada Centre (TOR),816
FedExForum (MEM),United Center (CHI),481
FedExForum (MEM),Quicken Loans Arena (CLE),630
FedExForum (MEM),The Palace of Auburn Hills (DET),636
FedExForum (MEM),Bankers Life Fieldhouse (IND),383
FedExForum (MEM),BMO Harris Bradley Center (MIL),556
FedExForum (MEM),Philips Arena (ATL),336
FedExForum (MEM),Spectrum Center (CHA),520
FedExForum (MEM),AmericanAirlines Arena (MIA),871
FedExForum (MEM),Amway Center (ORL),683
FedExForum (MEM),Verizon Center (WSH),764
FedExForum (MEM),ORACLE Arena (GS),1794
FedExForum (MEM),Staples Center (LAC),1604
FedExForum (MEM),Staples Center (LAL),1604
FedExForum (MEM),Talking Stick Resort Arena (PHX),1262
FedExForum (MEM),Golden 1 Center (SAC),1749
FedExForum (MEM),American Airlines Center (DAL),429
FedExForum (MEM),Toyota Center (HOU),484
FedExForum (MEM),FedExForum (MEM),0
FedExForum (MEM),Smoothie King Center (NO),358
FedExForum (MEM),AT&T Center (SA),629
FedExForum (MEM),Pepsi Center (DEN),880
FedExForum (MEM),Target Center (MIN),699
FedExForum (MEM),Chesapeake Energy Arena (OKC),422
FedExForum (MEM),Moda Center at the Rose Quarter (POR),1849
FedExForum (MEM),Vivint Smart Home Arena (UTA),1250
Smoothie King Center (NO),TD Garden (BOS),1358
Smoothie King Center (NO),Barclays Center (BKN),1168
Smoothie King Center (NO),Madison Square Garden (NY),1170
Smoothie King Center (NO),Wells Fargo Center (PHI),1086
Smoothie King Center (NO),Air Canada Centre (TOR),1112
Smoothie King Center (NO),United Center (CHI),833
Smoothie King Center (NO),Quicken Loans Arena (CLE),923
Smoothie King Center (NO),The Palace of Auburn Hills (DET),956
Smoothie King Center (NO),Bankers Life Fieldhouse (IND),711
Smoothie King Center (NO),BMO Harris Bradley Center (MIL),910
Smoothie King Center (NO),Philips Arena (ATL),424
Smoothie King Center (NO),Spectrum Center (CHA),649
Smoothie King Center (NO),AmericanAirlines Arena (MIA),668
Smoothie King Center (NO),Amway Center (ORL),533
Smoothie King Center (NO),Verizon Center (WSH),965
Smoothie King Center (NO),ORACLE Arena (GS),1917
Smoothie King Center (NO),Staples Center (LAC),1673
Smoothie King Center (NO),Staples Center (LAL),1673
Smoothie King Center (NO),Talking Stick Resort Arena (PHX),1315
Smoothie King Center (NO),Golden 1 Center (SAC),1883
Smoothie King Center (NO),American Airlines Center (DAL),454
Smoothie King Center (NO),Toyota Center (HOU),318
Smoothie King Center (NO),FedExForum (MEM),358
Smoothie King Center (NO),Smoothie King Center (NO),0
Smoothie King Center (NO),AT&T Center (SA),504
Smoothie King Center (NO),Pepsi Center (DEN),1082
Smoothie King Center (NO),Target Center (MIN),1050
Smoothie King Center (NO),Chesapeake Energy Arena (OKC),576
Smoothie King Center (NO),Moda Center at the Rose Quarter (POR),2062
Smoothie King Center (NO),Vivint Smart Home Arena (UTA),1434
AT&T Center (SA),TD Garden (BOS),1764
AT&T Center (SA),Barclays Center (BKN),1580
AT&T Center (SA),Madison Square Garden (NY),1581
AT&T Center (SA),Wells Fargo Center (PHI),1502
AT&T Center (SA),Air Canada Centre (TOR),1437
AT&T Center (SA),United Center (CHI),1048
AT&T Center (SA),Quicken Loans Arena (CLE),1254
AT&T Center (SA),The Palace of Auburn Hills (DET),1245
AT&T Center (SA),Bankers Life Fieldhouse (IND),996
AT&T Center (SA),BMO Harris Bradley Center (MIL),1105
AT&T Center (SA),Philips Arena (ATL),879
AT&T Center (SA),Spectrum Center (CHA),1102
AT&T Center (SA),AmericanAirlines Arena (MIA),1144
AT&T Center (SA),Amway Center (ORL),1033
AT&T Center (SA),Verizon Center (WSH),1384
AT&T Center (SA),ORACLE Arena (GS),1485
AT&T Center (SA),Staples Center (LAC),1207
AT&T Center (SA),Staples Center (LAL),1207
AT&T Center (SA),Talking Stick Resort Arena (PHX),851
AT&T Center (SA),Golden 1 Center (SAC),1460
AT&T Center (SA),American Airlines Center (DAL),250
AT&T Center (SA),Toyota Center (HOU),186
AT&T Center (SA),FedExForum (MEM),629
AT&T Center (SA),Smoothie King Center (NO),504
AT&T Center (SA),AT&T Center (SA),0
AT&T Center (SA),Pepsi Center (DEN),803
AT&T Center (SA),Target Center (MIN),1107
AT&T Center (SA),Chesapeake Energy Arena (OKC),419
AT&T Center (SA),Moda Center at the Rose Quarter (POR),1721
AT&T Center (SA),Vivint Smart Home Arena (UTA),1088
Pepsi Center (DEN),TD Garden (BOS),1770
Pepsi Center (DEN),Barclays Center (BKN),1634
Pepsi Center (DEN),Madison Square Garden (NY),1632
Pepsi Center (DEN),Wells Fargo Center (PHI),1579
Pepsi Center (DEN),Air Canada Centre (TOR),1347
Pepsi Center (DEN),United Center (CHI),919
Pepsi Center (DEN),Quicken Loans Arena (CLE),1228
Pepsi Center (DEN),The Palace of Auburn Hills (DET),1148
Pepsi Center (DEN),Bankers Life Fieldhouse (IND),1002
Pepsi Center (DEN),BMO Harris Bradley Center (MIL),915
Pepsi Center (DEN),Philips Arena (ATL),1212
Pepsi Center (DEN),Spectrum Center (CHA),1359
Pepsi Center (DEN),AmericanAirlines Arena (MIA),1725
Pepsi Center (DEN),Amway Center (ORL),1552
Pepsi Center (DEN),Verizon Center (WSH),1494
Pepsi Center (DEN),ORACLE Arena (GS),940
Pepsi Center (DEN),Staples Center (LAC),831
Pepsi Center (DEN),Staples Center (LAL),831
Pepsi Center (DEN),Talking Stick Resort Arena (PHX),585
Pepsi Center (DEN),Golden 1 Center (SAC),887
Pepsi Center (DEN),American Airlines Center (DAL),652
Pepsi Center (DEN),Toyota Center (HOU),879
Pepsi Center (DEN),FedExForum (MEM),880
Pepsi Center (DEN),Smoothie King Center (NO),1082
Pepsi Center (DEN),AT&T Center (SA),803
Pepsi Center (DEN),Pepsi Center (DEN),0
Pepsi Center (DEN),Target Center (MIN),697
Pepsi Center (DEN),Chesapeake Energy Arena (OKC),505
Pepsi Center (DEN),Moda Center at the Rose Quarter (POR),981
Pepsi Center (DEN),Vivint Smart Home Arena (UTA),370
Target Center (MIN),TD Garden (BOS),1126
Target Center (MIN),Barclays Center (BKN),1023
Target Center (MIN),Madison Square Garden (NY),1021
Target Center (MIN),Wells Fargo Center (PHI),989
Target Center (MIN),Air Canada Centre (TOR),696
Target Center (MIN),United Center (CHI),355
Target Center (MIN),Quicken Loans Arena (CLE),633
Target Center (MIN),The Palace of Auburn Hills (DET),527
Target Center (MIN),Bankers Life Fieldhouse (IND),513
Target Center (MIN),BMO Harris Bradley Center (MIL),300
Target Center (MIN),Philips Arena (ATL),908
Target Center (MIN),Spectrum Center (CHA),940
Target Center (MIN),AmericanAirlines Arena (MIA),1511
Target Center (MIN),Amway Center (ORL),1309
Target Center (MIN),Verizon Center (WSH),936
Target Center (MIN),ORACLE Arena (GS),1573
Target Center (MIN),Staples Center (LAC),1522
Target Center (MIN),Staples Center (LAL),1522
Target Center (MIN),Talking Stick Resort Arena (PHX),1276
Target Center (MIN),Golden 1 Center (SAC),1512
Target Center (MIN),American Airlines Center (DAL),859
Target Center (MIN),Toyota Center (HOU),1054
Target Center (MIN),FedExForum (MEM),699
Target Center (MIN),Smoothie King Center (NO),1050
Target Center (MIN),AT&T Center (SA),1107
Target Center (MIN),Pepsi Center (DEN),697
Target Center (MIN),Target Center (MIN),0
Target Center (MIN),Chesapeake Energy Arena (OKC),691
Target Center (MIN),Moda Center at the Rose Quarter (POR),1424
Target Center (MIN),Vivint Smart Home Arena (UTA),983
Chesapeake Energy Arena (OKC),TD Garden (BOS),1495
Chesapeake Energy Arena (OKC),Barclays Center (BKN),1328
Chesapeake Energy Arena (OKC),Madison Square Garden (NY),1328
Chesapeake Energy Arena (OKC),Wells Fargo Center (PHI),1258
Chesapeake Energy Arena (OKC),Air Canada Centre (TOR),1117
Chesapeake Energy Arena (OKC),United Center (CHI),691
Chesapeake Energy Arena (OKC),Quicken Loans Arena (CLE),951
Chesapeake Energy Arena (OKC),The Palace of Auburn Hills (DET),913
Chesapeake Energy Arena (OKC),Bankers Life Fieldhouse (IND),689
Chesapeake Energy Arena (OKC),BMO Harris Bradley Center (MIL),732
Chesapeake Energy Arena (OKC),Philips Arena (ATL),756
Chesapeake Energy Arena (OKC),Spectrum Center (CHA),940
Chesapeake Energy Arena (OKC),AmericanAirlines Arena (MIA),1225
Chesapeake Energy Arena (OKC),Amway Center (ORL),1059
Chesapeake Energy Arena (OKC),Verizon Center (WSH),1152
Chesapeake Energy Arena (OKC),ORACLE Arena (GS),1380
Chesapeake Energy Arena (OKC),Staples Center (LAC),1182
Chesapeake Energy Arena (OKC),Staples Center (LAL),1182
Chesapeake Energy Arena (OKC),Talking Stick Resort Arena (PHX),841
Chesapeake Energy Arena (OKC),Golden 1 Center (SAC),1339
Chesapeake Energy Arena (OKC),American Airlines Center (DAL),183
Chesapeake Energy Arena (OKC),Toyota Center (HOU),412
Chesapeake Energy Arena (OKC),FedExForum (MEM),422
Chesapeake Energy Arena (OKC),Smoothie King Center (NO),576
Chesapeake Energy Arena (OKC),AT&T Center (SA),419
Chesapeake Energy Arena (OKC),Pepsi Center (DEN),505
Chesapeake Energy Arena (OKC),Target Center (MIN),691
Chesapeake Energy Arena (OKC),Chesapeake Energy Arena (OKC),0
Chesapeake Energy Arena (OKC),Moda Center at the Rose Quarter (POR),1487
Chesapeake Energy Arena (OKC),Vivint Smart Home Arena (UTA),862
Moda Center at the Rose Quarter (POR),TD Garden (BOS),2539
Moda Center at the Rose Quarter (POR),Barclays Center (BKN),2447
Moda Center at the Rose Quarter (POR),Madison Square Garden (NY),2444
Moda Center at the Rose Quarter (POR),Wells Fargo Center (PHI),2413
Moda Center at the Rose Quarter (POR),Air Canada Centre (TOR),2114
Moda Center at the Rose Quarter (POR),United Center (CHI),1756
Moda Center at the Rose Quarter (POR),Quicken Loans Arena (CLE),2055
Moda Center at the Rose Quarter (POR),The Palace of Auburn Hills (DET),1951
Moda Center at the Rose Quarter (POR),Bankers Life Fieldhouse (IND),1885
Moda Center at the Rose Quarter (POR),BMO Harris Bradley Center (MIL),1718
Moda Center at the Rose Quarter (POR),Philips Arena (ATL),2172
Moda Center at the Rose Quarter (POR),Spectrum Center (CHA),2289
Moda Center at the Rose Quarter (POR),AmericanAirlines Arena (MIA),2706
Moda Center at the Rose Quarter (POR),Amway Center (ORL),2529
Moda Center at the Rose Quarter (POR),Verizon Center (WSH),2353
Moda Center at the Rose Quarter (POR),ORACLE Arena (GS),533
Moda Center at the Rose Quarter (POR),Staples Center (LAC),825
Moda Center at the Rose Quarter (POR),Staples Center (LAL),825
Moda Center at the Rose Quarter (POR),Talking Stick Resort Arena (PHX),1005
Moda Center at the Rose Quarter (POR),Golden 1 Center (SAC),482
Moda Center at the Rose Quarter (POR),American Airlines Center (DAL),1621
Moda Center at the Rose Quarter (POR),Toyota Center (HOU),1835
Moda Center at the Rose Quarter (POR),FedExForum (MEM),1849
Moda Center at the Rose Quarter (POR),Smoothie King Center (NO),2062
Moda Center at the Rose Quarter (POR),AT&T Center (SA),1721
Moda Center at the Rose Quarter (POR),Pepsi Center (DEN),981
Moda Center at the Rose Quarter (POR),Target Center (MIN),1424
Moda Center at the Rose Quarter (POR),Chesapeake Energy Arena (OKC),1487
Moda Center at the Rose Quarter (POR),Moda Center at the Rose Quarter (POR),0
Moda Center at the Rose Quarter (POR),Vivint Smart Home Arena (UTA),635
Vivint Smart Home Arena (UTA),TD Garden (BOS),2098
Vivint Smart Home Arena (UTA),Barclays Center (BKN),1974
Vivint Smart Home Arena (UTA),Madison Square Garden (NY),1972
Vivint Smart Home Arena (UTA),Wells Fargo Center (PHI),1925
Vivint Smart Home Arena (UTA),Air Canada Centre (TOR),1669
Vivint Smart Home Arena (UTA),United Center (CHI),1258
Vivint Smart Home Arena (UTA),Quicken Loans Arena (CLE),1568
Vivint Smart Home Arena (UTA),The Palace of Auburn Hills (DET),1479
Vivint Smart Home Arena (UTA),Bankers Life Fieldhouse (IND),1357
Vivint Smart Home Arena (UTA),BMO Harris Bradley Center (MIL),1241
Vivint Smart Home Arena (UTA),Philips Arena (ATL),1582
Vivint Smart Home Arena (UTA),Spectrum Center (CHA),1727
Vivint Smart Home Arena (UTA),AmericanAirlines Arena (MIA),2087
Vivint Smart Home Arena (UTA),Amway Center (ORL),1918
Vivint Smart Home Arena (UTA),Verizon Center (WSH),1847
Vivint Smart Home Arena (UTA),ORACLE Arena (GS),592
Vivint Smart Home Arena (UTA),Staples Center (LAC),580
Vivint Smart Home Arena (UTA),Staples Center (LAL),580
Vivint Smart Home Arena (UTA),Talking Stick Resort Arena (PHX),504
Vivint Smart Home Arena (UTA),Golden 1 Center (SAC),533
Vivint Smart Home Arena (UTA),American Airlines Center (DAL),988
Vivint Smart Home Arena (UTA),Toyota Center (HOU),1199
Vivint Smart Home Arena (UTA),FedExForum (MEM),1250
Vivint Smart Home Arena (UTA),Smoothie King Center (NO),1434
Vivint Smart Home Arena (UTA),AT&T Center (SA),1088
Vivint Smart Home Arena (UTA),Pepsi Center (DEN),370
Vivint Smart Home Arena (UTA),Target Center (MIN),983
Vivint Smart Home Arena (UTA),Chesapeake Energy Arena (OKC),862
Vivint Smart Home Arena (UTA),Moda Center at the Rose Quarter (POR),635
Vivint Smart Home Arena (UTA),Vivint Smart Home Arena (UTA),0
