A,B,StadDistMiles
Wells Fargo Center (PHI),Verizon Center (WSH),120
Wells Fargo Center (PHI),ORACLE Arena (GS),2514
Wells Fargo Center (PHI),Staples Center (LAC),2394
Wells Fargo Center (PHI),Staples Center (LAL),2394
Wells Fargo Center (PHI),Talking Stick Resort Arena (PHX),2081
Wells Fargo Center (PHI),Golden 1 Center (SAC),2458
Wells Fargo Center (PHI),American Airlines Center (DAL),1306
Wells Fargo Center (PHI),Toyota Center (HOU),1339
Wells Fargo Center (PHI),FedExForum (MEM),879
Wells Fargo Center (PHI),Smoothie King Center (NO),1086
Wells Fargo Center (PHI),AT&T Center (SA),1502
Wells Fargo Center (PHI),Pepsi Center (DEN),1579
Wells Fargo Center (PHI),Target Center (MIN),989
Wells Fargo Center (PHI),Chesapeake Energy Arena (OKC),1258
Wells Fargo Center (PHI),Moda Center at the Rose Quarter (POR),2413
Wells Fargo Center (PHI),Vivint Smart Home Arena (UTA),1925
Air Canada Centre (TOR),TD Garden (BOS),430
Air Canada Centre (TOR),Barclays Center (BKN),344
Air Canada Centre (TOR),Madison Square Garden (NY),340
Air Canada Centre (TOR),Wells Fargo Center (PHI),337
Air Canada Centre (TOR),Air Canada Centre (TOR),0
Air Canada Centre (TOR),United Center (CHI),438
Air Canada Centre (TOR),Quicken Loans Arena (CLE),189
Air Canada Centre (TOR),The Palace of Auburn Hills (DET),206
Air Canada Centre (TOR),Bankers Life Fieldhouse (IND),440
Air Canada Centre (TOR),BMO Harris Bradley Center (MIL),432
Air Canada Centre (TOR),Philips Arena (ATL),733
Air Canada Centre (TOR),Spectrum Center (CHA),585
Air Canada Centre (TOR),AmericanAirlines Arena (MIA),1231
Air Canada Centre (TOR),Amway Center (ORL),1047
Air Canada Centre (TOR),Verizon Center (WSH),349
Air Canada Centre (TOR),ORACLE Arena (GS),2261
Air Canada Centre (TOR),Staples Center (LAC),2177
Air Canada Centre (TOR),Staples Center (LAL),2177
Air Canada Centre (TOR),Talking Stick Resort Arena (PHX),1890
Air Canada Centre (TOR),Golden 1 Center (SAC),2201
Air Canada Centre (TOR),American Airlines Center (DAL),1209
Air Canada Centre (TOR),Toyota Center (HOU),1301
Air Canada Centre (TOR),FedExForum (MEM),816
Air Canada Centre (TOR),Smoothie King Center (NO),1112
Air Canada Centre (TOR),AT&T Center (SA),1437
Air Canada Centre (TOR),Pepsi Center (DEN),1347
Air Canada Centre (TOR),Target Center (MIN),696
Air Canada Centre (TOR),Chesapeake Energy Arena (OKC),1117
Air Canada Centre (TOR),Moda Center at the Rose Quarter (POR),2114
Air Canada Centre (TOR),Vivint Smart Home Arena (UTA),1669
United Center (CHI),TD Garden (BOS),853
United Center (CHI),Barclays Center (BKN),716
United Center (CHI),Madison Square Garden (NY),715
United Center (CHI),Wells Fargo Center (PHI),668
United Center (CHI),Air Canada Centre (TOR),438
United Center (CHI),United Center (CHI),0
United Center (CHI),Quicken Loans Arena (CLE),310
United Center (CHI),The Palace of Auburn Hills (DET),233
United Center (CHI),Bankers Life Fieldhouse (IND),166
United Center (CHI),BMO Harris Bradley Center (MIL),81
